  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h

                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000086     66.02    60.57         3150

               31000083      1.78     1.65       1/1770      4.98%    1.00

   30     1    30000086     64.37    59.04         3150

               30000431      1.87     1.73       1/1684      5.08%    0.81

   29     1    29000083     62.66    57.45         3150

               29000431      1.97     1.82       1/1602      5.24%    0.90

   28     1    28000086     60.88    55.79         3150

               28000083      2.07     1.91       1/1521      4.91%    0.92

   27     1    27000083     59.02    54.06         3150

               27000086      2.17     2.01       1/1449      4.42%    0.92

   26     1    26000083     57.08    52.25         3150

               26000519      2.27     2.10       1/1387      3.86%    0.91

   25     1    25000083     55.05    50.37         3150

               25000083      2.36     2.18       1/1334      3.30%    0.90

   24     1    24000083     52.94    48.42         3150

               24000431      2.44     2.25       1/1291      2.77%    0.90

   23     1    23000086     50.75    46.39         3150

               23000086      2.51     2.31       1/1255      2.29%    0.89

   22     1    22000083     48.49    44.31         3150

               22000431      2.57     2.36       1/1226      1.85%    0.88

   21     1    21000083     46.17    42.16         3150

               21000083      2.62     2.41       1/1203      1.40%    0.87

   20     1    20000086     43.78    39.96         3150

               20000431      2.66     2.44       1/1185      0.80%    0.86

   19     1    19000083     41.34    37.71         3150

               19000083      2.68     2.46       1/1174      0.81%    0.85

   18     1    18000086     38.85    35.42         3150

               18000431      2.71     2.48       1/1164      0.59%    0.85

   17     1    17000086     36.32    33.10         3150

               17000490      2.72     2.49       1/1156      0.35%    0.84

   16     1    16000083     33.75    30.75         3150

               16000431      2.74     2.50       1/1151      0.07%    0.84

   15     1    15000083     31.15    28.36         3150

               15000431      2.74     2.50       1/1149      0.37%    0.84

   14     1    14000083     28.52    25.96         3150

               14000083      2.73     2.50       1/1152      0.44%    0.83

   13     1    13000086     25.88    23.55         3150

               13000431      2.72     2.48       1/1156      0.79%    0.83

   12     1    12000083     23.23    21.14         3150

               12000086      2.70     2.46       1/1165      1.31%    0.82

   11     1    11000083     20.59    18.73         3150

               11000431      2.67     2.43       1/1179      2.11%    0.82

   10     1    10000083     17.96    16.34         3150

               10000086      2.62     2.38       1/1204      2.67%    0.81

    9     1     9000086     15.38    13.99         3150

                9000086      2.55     2.32       1/1236      3.75%    0.80

    8     1     8000086     12.85    11.70         3150

                8000492      2.45     2.23       1/1284      5.32%    0.78

    7     1     7000083     10.42     9.49         3150

                7000083      2.32     2.11       1/1356      7.77%    0.76

    6     1     6000086      8.11     7.39         3150

                6000086      2.14     1.95       1/1471     11.72%    0.73

    5     1     5000083      5.98     5.45         3150

                5000086      1.89     1.72       1/1669     21.78%    0.68

    4     1     4000083      4.10     3.74         3150

                4000492      1.48     1.35       1/2133     27.20%    0.60

    3     1     3000088      2.63     2.41         3150

                3000101      1.13     0.70       1/2786      7.45%    0.56

    2     1     2000031      1.67     1.46         3150

                2000031      1.14     0.98       1/2752     46.74%    0.71

    1     1     1000052      0.52     0.48         3150

                1000052      0.52     0.48       1/6004    100.00%    0.41

